person_id,last_name,first_name,position,height_inches,weight_lbs,min,pts,fg_pct,reb,ast,blk,stl
203476,Dieng,Gorgui,Center,83,233,30.0,9.7,0.506,8.3,2.0,1.7,1.0
203915,Dinwiddie,Spencer,Guard,78,200,13.4,4.3,0.302,1.4,3.1,0.2,0.6
201595,Dorsey,Joey,Forward,81,275,12.4,2.7,0.552,4.0,0.4,0.4,0.6
201609,Dragic,Goran,Guard,75,190,33.8,16.3,0.501,3.5,4.5,0.2,1.0
203083,Drummond,Andre,Center,83,279,30.5,13.8,0.514,13.5,0.7,1.9,0.9
201162,Dudley,Jared,Guard,79,225,23.8,7.2,0.468,3.1,1.8,0.2,1.0
1495,Duncan,Tim,Forward,83,250,28.9,13.9,0.512,9.1,3.0,2.0,0.8
2399,Dunleavy,Mike,Guard,81,230,29.2,9.4,0.435,3.9,1.8,0.3,0.6
201142,Durant,Kevin,Forward,81,240,33.8,25.4,0.51,6.6,4.1,0.9,0.9
203921,Early,Cleanthony,Forward,80,220,16.6,5.4,0.355,2.5,0.9,0.3,0.6
201961,Ellington,Wayne,Guard,76,200,25.8,10.0,0.412,3.2,1.6,0.0,0.5
101145,Ellis,Monta,Guard,75,185,33.7,18.9,0.445,2.4,4.1,0.3,1.9
203516,Ennis,James,Forward,79,208,17.0,5.0,0.409,2.8,0.8,0.3,0.4
203898,Ennis,Tyler,Guard,75,175,12.5,3.7,0.361,1.1,2.2,0.2,0.5
2501,Evans,Reggie,Center,80,245,16.3,3.7,0.423,6.4,0.7,0.1,0.5
201936,Evans,Tyreke,Guard,78,220,34.0,16.6,0.447,5.3,6.6,0.5,1.3
